source,domain-analysis,confidence-delta,no-confidence,no-provider-offer,no-market-key,no-participant-scope,computation-error,unknown-legacy,total
alert-agent,0,0,0,0,0,0,0,2331,2331
board-construction,840,233,0,0,0,0,0,1,1074
human,3,0,0,0,0,0,0,0,3
manual,0,0,0,0,0,0,0,4,4
model-driven,0,0,0,0,0,0,0,2311,2311
non-production:api,11,0,0,0,0,0,0,5338,5349
non-production:canary-proof,0,0,0,0,0,0,0,2,2
smart-form,4,0,0,0,0,0,0,29542,29546
system-pick-scanner,2394,3609,0,0,0,0,0,4652,10655
t1-proof,0,0,0,0,0,0,0,4583,4583
