market_family,total_rows,provenance_pass,provenance_fail,provenance_unknown,candidate_linked_pct
1h_spread,22,0,22,0,100
1h_total_ou,59,0,59,0,100
1i_total_ou,18,0,18,0,100
1q_spread,10,0,10,0,100
1q_total_ou,29,0,29,0,100
2h_spread,8,0,8,0,100
2h_total_ou,14,0,14,0,100
2q_spread,8,0,8,0,100
2q_total_ou,15,0,15,0,100
3q_spread,8,0,8,0,100
3q_total_ou,15,0,15,0,100
4q_spread,8,0,8,0,100
4q_total_ou,17,0,17,0,94.12
f3_spread,16,0,16,0,100
f3_total_ou,28,0,28,0,100
f5_spread,18,0,18,0,100
f5_total_ou,38,0,38,0,100
f7_spread,7,0,7,0,100
f7_total_ou,17,0,17,0,100
game_total_ou,68,0,68,0,41.18
moneyline,166,0,166,0,98.8
NBA player points,7,0,7,0,0
player_3pm_ou,132,0,132,0,100
player_assists_ou,267,0,267,0,85.77
player_batting_doubles_ou,130,0,130,0,76.92
player_batting_hits_ou,234,0,234,0,71.79
player_batting_home_runs_ou,112,0,112,0,100
player_batting_hrr_ou,141,0,141,0,100
player_batting_rbi_ou,137,0,137,0,100
player_batting_singles_ou,160,0,160,0,73.75
player_batting_stolen_bases_ou,101,0,101,0,100
player_batting_strikeouts_ou,85,0,85,0,91.76
player_batting_total_bases_ou,148,0,148,0,75.68
player_batting_triples_ou,77,0,77,0,100
player_batting_walks_ou,205,0,205,0,66.34
player_blocked_shots_ou,11,0,11,0,100
player_blocks_ou,160,0,160,0,98.13
player_goals_ou,54,0,54,0,100
player_hockey_points_ou,58,0,58,0,100
player_pitching_earned_runs_ou,13,0,13,0,100
player_pitching_hits_allowed_ou,10,0,10,0,100
player_pitching_outs_ou,10,0,10,0,100
player_pitching_pitches_thrown_ou,3,0,3,0,100
player_pitching_strikeouts_ou,16,0,16,0,62.5
player_pitching_walks_ou,7,0,7,0,100
player_points_ou,259,0,259,0,84.94
player_pra_ou,205,0,205,0,99.51
player_pts_asts_ou,147,0,147,0,99.32
player_pts_rebs_ou,152,0,152,0,98.68
player_rebounds_ou,178,0,177,0,86.52
player_rebs_asts_ou,137,0,137,0,99.27
player_shots_ou,52,0,52,0,100
player_steals_ou,136,0,136,0,98.53
player_threes_ou,1,0,1,0,0
player_turnovers_ou,41,0,41,0,100
powerPlay_goals+assists-all-game-ou,2,0,0,2,0
spread,15,0,15,0,100
test,1,0,1,0,0
totals,3,0,3,0,0
twoPointersMade-all-game-ou,5,0,5,0,0
